loadcase,damage_label,damage_state,x,y,r,source,V_1_1,V_2_1,V_3_1,V_1_2,V_2_2,V_3_2,V_1_3,V_2_3,V_3_3,H_1_1,H_1_2,H_1_3,H_2_1,H_2_2,H_2_3,H_3_1,H_3_2,H_3_3,VH_1_1,VH_1_2,VH_1_3,VH_2_1,VH_2_2,VH_2_3,VH_3_1,VH_3_2,VH_3_3
102,1,DS22,75.83,73.39,5.28,simulated,260.24267780905495,196.57821873404532,124.4201495663625,50.34711211829121,57.451739774992795,38.85777881865454,-153.32010851574987,-131.37546188282363,-97.57939598548239,-964.7117624622523,-715.8748108150495,-450.26461261816235,-881.4599098236904,-640.3029072724102,-398.6639828437503,-766.9164035676362,-550.0166361560612,-306.55541380374086,38.08996391734729,203.13871642905792,350.0663320911989,49.65884607431167,257.20535464795995,462.15696107213483,-29.5941542339977,255.87201055208368,488.3182458089342
103,1,DS22,75.83,73.39,5.28,simulated,286.3263935120478,223.07557919253247,156.93063522920758,107.52018493987083,122.41206997292058,111.0281687430427,-66.58107809094948,-19.668044374628828,51.1693339235252,-1028.489295282592,-777.1454939825267,-521.8735563105239,-963.2886679084382,-717.5315594977908,-471.259476273731,-871.7913791366509,-645.19126770749,-399.2127922853803,-14.002068129624604,139.31918707954526,270.75415751848254,-3.002839875929908,193.88883865034694,391.6037002135407,-62.834765191353426,225.43195758868893,454.47761092400117
104,1,DS22,75.83,73.39,5.28,simulated,305.4468403267185,224.677623501752,136.275077227806,94.4125809363104,108.68372104554112,99.6946366738513,-122.82187541500438,-77.84436954655563,-7.271771807931679,-1105.7947885754065,-780.1206084357232,-413.23188154789295,-1033.3617273108823,-726.8963504678878,-407.5774498761017,-928.7693890499058,-655.4568921084483,-366.2966637468854,10.488547687996004,190.41718151407048,335.9428056526493,17.684305000378515,244.78289010691492,460.02531672701934,-64.19395842998756,256.18865443106523,492.11036523574825
105,1,DS22,75.83,73.39,5.28,simulated,298.4086369688536,237.7526658630748,173.1191236502322,139.83742386478644,162.24551253054065,162.4616175630532,-17.220113686160055,39.78018158177801,129.16411740688974,-1053.1755886933813,-806.4546990531776,-550.2451336472506,-1000.4035637309653,-763.6326316601582,-525.8320419437304,-922.6964111009372,-703.7361451977224,-476.36018426347823,-45.459898478487105,94.91100374103115,210.12809950611182,-33.5113844422994,148.9384256473578,324.8440249984518,-82.71191371397339,196.83395275683796,412.035159668
106,1,DS22,75.83,73.39,5.28,simulated,169.8003610698509,133.55519388439035,93.22080941260306,117.18538753578413,130.12803277724623,129.74048745812587,60.57215382381364,104.48259150821056,171.49024382024623,-574.8744919083233,-428.7182977496742,-272.92888925137675,-568.0180233136957,-429.9516724753052,-282.6991424405398,-555.0998497242307,-424.04651735088,-294.3151877820918,-67.98818008651025,-4.957166665463774,45.068185819723894,-68.03763777303163,11.570298852978112,84.13390357425455,-84.29721367062623,51.97182456732153,146.0991822104054
110,1,DS22,75.83,73.39,5.28,simulated,290.74877311548886,224.37326289162002,149.5397109123186,70.19193563671762,80.21376958972118,60.608624445590294,-141.84487406342453,-112.99819141238827,-65.17318834924785,-1069.2512837508143,-808.3038162084035,-530.5191126387119,-982.304369941511,-728.9107688323537,-475.18318463121244,-862.7519474801888,-635.2177390960021,-386.6357807209861,26.21981406211563,199.91555274924883,353.0656281075353,40.17912385152357,259.11621481984923,472.93442441278114,-40.41141764682624,265.4956023587222,509.36624683885185
112,1,DS22,75.83,73.39,5.28,simulated,296.02843752587796,242.94256105726652,185.49650493156668,156.21361412146516,191.56147166818795,214.83695774403745,12.73355380548161,80.59292123731117,196.8640177133612,-1031.8765254895543,-804.8421349326815,-562.6282598405403,-988.3346034972756,-778.0441616550755,-569.7508987011529,-916.9197738801028,-725.6986738798674,-541.0551889833816,-61.410352571730414,61.31212274121049,153.63941887405122,-44.066048777142726,121.30435720124945,270.26987652715684,-78.49533438736182,189.70126094440258,396.0601157998692
117,1,DS22,75.83,73.39,5.28,simulated,266.1183768850259,199.34017667919764,124.60739057901084,118.93358477393029,144.01792752552586,163.2170159994509,-41.90056863457727,14.654481864294592,100.93523413345332,-938.9082352533228,-663.3831056273873,-356.5186356452626,-896.0510295661617,-642.9822990614292,-382.16358984641056,-826.0936604729562,-595.2513453657558,-351.49907046191674,-27.563514652909873,108.4583573487188,214.1198736022871,-20.769617440054105,156.3116805411724,321.20114901326843,-71.41986522045454,198.31029008151455,409.81852944343524
118,1,DS22,75.83,73.39,5.28,simulated,227.95021914289333,180.3490878132949,127.11736139629858,128.80243235835667,152.2405649827172,164.8078072115409,23.100115616030095,77.78087880259497,165.45204779660617,-788.6888648007498,-590.7132021025404,-374.97622177326224,-763.207199917608,-580.2084178829127,-390.8716968697997,-719.9607075901147,-552.0683599310868,-384.83335309440093,-56.38949671779616,39.61590932851291,113.40401604202917,-49.13577251685467,76.37095101874601,189.32152448480227,-77.52941987377079,126.54945554477266,278.65279437530904
133,1,DS22,75.83,73.39,5.28,simulated,363.25393631348203,280.2494847629729,189.57652478822527,68.67283750865035,76.35892285471627,45.331743018275276,-211.99317367513444,-188.45590906108887,-152.32841880064356,-1348.0502516268555,-1021.8444363098611,-672.9054294662101,-1228.3087333503768,-908.486013237289,-586.742919100397,-1066.5078314407122,-779.2655932995608,-459.9748860624447,51.44427842191584,277.56474589512675,476.9595322712744,69.96233816983249,354.9661518466769,639.6398012454954,-41.86296392022132,344.789558785442,647.3896991921563
134,1,DS22,75.83,73.39,5.28,simulated,272.47135088501295,203.77114414485172,127.92009787819752,104.6891341081388,112.51340252624811,98.9546456039171,-65.71015774575021,-32.10268634428622,14.096429624183498,-974.7555654390306,-702.066952994151,-398.4540501543862,-920.2265038518282,-659.844530736727,-385.7433653042087,-844.291861261671,-603.223943198271,-342.67533196890275,-19.310110915584346,129.06715285093614,252.99621450746298,-16.886794541277823,168.21154664676578,350.8788113953085,-87.32073574328871,176.91251650265707,371.6187469226083
137,1,DS22,75.83,73.39,5.28,simulated,216.54461211142726,170.00822889258515,122.33964202981953,111.98322005071405,122.6251901826921,120.22405725867547,8.852789132938078,45.47983839416089,99.59159724514038,-758.0272473352977,-572.5758720725507,-384.2402019584964,-725.6343504904896,-543.7562712725913,-365.3474028393962,-680.0473417437669,-501.3423375659849,-317.4444464240697,-47.95717998921967,52.56676899772057,135.31939371274652,-44.958346001017446,85.51450042111762,215.63105189838228,-82.84048914842771,117.49069074550818,279.8137434500468
138,1,DS22,75.83,73.39,5.28,simulated,317.1588481887739,244.981681202754,166.2181701312052,61.5800715960495,72.78428682708314,57.742773876133825,-185.0516563199689,-162.75117576755292,-131.89951928479258,-1175.2368018423786,-888.5658196674506,-584.1881888028101,-1071.7699404655216,-793.0037850347369,-512.3137612560848,-929.1909525057195,-676.4636984155026,-390.52190704447236,44.89904228343346,241.10921445500458,412.139661283525,62.37887680924251,313.2921827210215,570.5247894488992,-32.90833450374771,310.0763865605807,586.0509306871799
139,1,DS22,75.83,73.39,5.28,simulated,193.95764648881803,147.8402525457673,96.56044869095452,87.6180769910687,109.30493107428936,127.21966380273709,-28.3876404421959,16.601257757657923,90.77790000746926,-683.872033324231,-491.5785403275892,-280.3863307397923,-651.9557674537979,-475.9317294797237,-297.76972433417154,-598.5350070258011,-439.1336305442369,-274.2733841493445,-19.96949659321254,76.84876462176652,151.45067440043783,-12.528131728023766,115.37056103840311,232.22799317441138,-45.13834202704544,153.60453951798652,315.450648200224
140,1,DS22,75.83,73.39,5.28,simulated,326.57546620366395,260.9001475833182,190.53976085478047,134.7628046416803,170.43334474472283,196.7795240202072,-62.43694359373328,0.07921275463973171,105.54617025812713,-1161.7331304753052,-884.7968183861564,-589.5998100519863,-1094.6131545617084,-836.7018558902984,-583.6557220672258,-989.6308469810966,-754.832531097079,-512.3605945480471,-24.6645127691653,135.00462698535023,259.97714113306324,-4.600996546762815,209.37585307943476,411.308219589832,-60.8172451215155,266.94900758500387,536.8273062863211
148,1,DS22,75.83,73.39,5.28,simulated,206.37541400398152,164.56362143483588,120.15406705436015,126.77842931871862,144.1543425357295,150.3340973192628,44.738397495705044,93.05885269053182,168.99650435333658,-708.7691619888176,-537.6589881838768,-359.4957196130012,-689.5439774739885,-526.6184672095478,-362.9385911949265,-658.5357374570287,-502.165563907019,-348.9161486870234,-64.96628944300772,17.926686717186726,82.30608265003208,-60.95862996596665,47.770678192716474,148.86226182008056,-84.21786897420048,94.7400047723109,231.39403194377758
153,1,DS22,75.83,73.39,5.28,simulated,210.23992612856497,163.4379832313208,111.69493041032563,147.29627367787208,161.38555990175016,158.1598327106987,79.191588864631,133.9181971995891,215.71876122519427,-710.5443788850502,-523.6901587795004,-325.89105721231846,-703.7922259745691,-526.1627950171297,-336.7813653824213,-690.9446977383792,-520.9530164869616,-351.08990066429703,-86.7995364921666,-7.625824945096468,55.99880569900658,-88.8967677627509,10.300073458624013,101.906177342204,-109.66584104501302,59.59959861923855,177.36900462126175
155,1,DS22,75.83,73.39,5.28,simulated,318.4200072736266,240.78072239697093,149.43301127689838,71.05935701527144,72.73447819987902,30.374507344680538,-163.9706840077935,-137.46041306898402,-93.46988186514089,-1175.3219338281103,-876.5657845194153,-548.6288967558827,-1079.0410658503392,-787.7313680745264,-485.8380013918203,-951.1517381471915,-693.7377146259165,-416.8503071204099,32.43388956337566,228.88289223249882,406.5181390244811,42.99550529719528,282.76430761488115,510.77140834136947,-53.968382891007366,273.5382095058732,514.2087216180388
156,1,DS22,75.83,73.39,5.28,simulated,130.9348346661562,94.97358748884459,55.45688503829116,88.028119299352,95.17600588005318,89.95920473449895,37.715099761857346,76.0910993011491,137.28122486746005,-444.5460467780237,-303.92837240771456,-156.42214434302042,-440.94184318312404,-307.2646211454789,-161.51550532769392,-433.05246656157,-306.7488953031753,-176.67767099105268,-47.53083535152402,10.101241646787827,58.627993479753385,-52.13971223682651,18.527535843937557,86.46209989235493,-68.38719052621573,50.0361850987439,140.1709156081941
157,1,DS22,75.83,73.39,5.28,simulated,275.32216648440215,222.5635179928724,165.52705730809174,77.26088002582567,90.92898686168863,77.87076920372164,-108.55969626550089,-81.70548766182894,-36.90832876392727,-1006.4978088338379,-795.7272432278036,-579.7438471295897,-925.886225060212,-718.3876338268491,-515.9966895265553,-814.9088161086721,-626.4373650441925,-421.1962857243044,10.762414117756464,161.94866563404952,294.23552136798446,28.762296886339414,223.38281374787078,417.24420833086174,-38.41686528293428,237.78068434401314,458.6863202878327
164,1,DS22,75.83,73.39,5.28,simulated,238.17783686166075,188.58216285910208,135.95320689133246,78.63171243489248,97.86986085424758,106.15022002182691,-80.47482289276746,-46.577282549707654,9.07025883852646,-860.4529604695662,-655.115009183363,-435.04045037210494,-800.3993197299471,-605.676198913367,-414.259317671,-712.292139875176,-535.351998364407,-346.660876886467,1.169089920462909,128.61500989755262,231.59974462709332,15.487222107646346,183.27886078080215,346.7787997414382,-37.31868538856202,207.170483777223,404.90942900777134
166,1,DS22,75.83,73.39,5.28,simulated,192.34450949052325,150.8441953200886,104.15235214876652,126.10041955941615,141.6482006929244,144.22648898107258,54.1570806499073,101.19645369857784,175.10772786198834,-654.9993755929391,-486.66664075359023,-304.8050345836722,-644.0116466671806,-486.2463966004882,-318.68069698041813,-624.0019922524132,-474.9503348237861,-327.8735682706828,-69.45314282744695,4.890085795961255,63.722788157701316,-68.57234845592893,25.880125427365527,111.44769952298388,-90.08664496315899,69.17225814039625,183.2122658719095
167,1,DS22,75.83,73.39,5.28,simulated,179.12508118365392,142.64800226475555,101.81006070261222,133.5114093469504,143.64839058876564,138.83300134831174,85.19804994022113,126.01383769120638,185.69815287563256,-600.6404096053412,-455.35595189297555,-299.8848826257764,-598.5921981863586,-459.50043350250206,-309.45679754230036,-594.2729634505528,-457.58974313723496,-321.69583004146006,-86.73808145569615,-26.70344138518999,21.720772469328267,-89.310592377521,-15.049602942215529,54.26973296388692,-107.00122401999064,23.200018118682635,109.11917979944168
16,1,DS22,75.83,73.39,5.28,simulated,143.05227054736594,112.10958935573554,77.44674971079462,90.66024015054509,101.02555029454408,102.95294084717806,33.81199028211842,64.7275016855146,115.93668572355277,-489.1256630426897,-364.0599006002822,-228.56606726418377,-479.30842095596876,-361.518781965266,-236.88417155117293,-462.54107210584624,-349.580508909619,-236.81838011278165,-49.65448135912591,7.037947695141597,52.434079058876506,-49.393815340611326,22.650705230165073,89.67514669763703,-68.81505663758364,51.27234383210177,142.73080186406312
177,1,DS22,75.83,73.39,5.28,simulated,277.43978183393614,216.21518140742543,152.57341431873843,106.24870650320403,119.91597688158794,112.16829752539755,-60.59300219878391,-18.954783116734514,41.28776449518374,-994.9135905268167,-750.7484246646842,-500.2374034869035,-932.9058132226959,-694.265101673587,-457.9294841286666,-846.2713692974257,-622.7461514090692,-380.9113098382556,-17.168390596490326,130.11712558880754,254.51923206290027,-7.464681317926761,182.49836536279042,373.0554254373735,-66.99938666814433,210.0051249054835,432.77376161424036
179,1,DS22,75.83,73.39,5.28,simulated,272.44404633934073,201.4536522080414,122.45294198394728,87.00078176142961,103.29078439407463,94.75863921926532,-102.97251704143662,-53.32378654511147,31.709372531162526,-986.6902494087915,-706.0441315353329,-410.9927697953419,-921.464609631011,-654.5233857314499,-378.20804913427617,-825.475940527216,-585.5409039184178,-323.2008746544261,9.123248796727523,170.30088569311286,310.7005115845898,17.469591330992216,221.6619768352935,418.5722997624856,-46.74988090883147,252.58790517011892,504.9340063580423
184,1,DS22,75.83,73.39,5.28,simulated,328.76590305636574,269.5723523091947,206.1374985981015,165.61257474289957,202.6779361754885,225.331389144631,0.17193958494071374,70.91617972586515,191.01055840025992,-1151.3729920948422,-899.5634855832911,-632.5925212788093,-1098.2340562501242,-863.2858698993367,-631.3827139757864,-1013.6184843657517,-799.307793279439,-588.5248250807863,-60.39664954082156,80.18426377687086,187.68663108466066,-40.852890467425766,148.0014330077787,321.5310482575793,-83.2524852754658,218.0654715967823,451.6789359808208
185,1,DS22,75.83,73.39,5.28,simulated,300.81488755617164,228.01796227782947,148.5096421699978,55.277289046598455,60.87778006636824,35.071580323292544,-181.72281414564455,-160.8634505835314,-128.48735799806238,-1116.462281393036,-829.8488888180758,-517.4030011896625,-1018.5016929646189,-739.7111227762452,-455.9448664577965,-885.6721381133785,-636.5643720783778,-361.68121065213006,45.59890113877441,236.58287415996398,403.63314612926445,58.910647354459854,298.55609747699253,535.5140089447115,-36.50023819400036,287.2880460344743,537.1847715152894
196,1,DS22,75.83,73.39,5.28,simulated,219.88949723463907,179.0863091866192,135.9420589603853,114.74938205986767,133.5763482009494,140.1600890896908,10.371142505382029,51.95724445850677,117.82494912952822,-768.3439251353315,-599.2791433323841,-422.4485895033046,-735.0173339529621,-573.6480887747375,-413.1900122243417,-684.7377619667553,-532.6080673718226,-378.6061524914665,-48.041936857810214,45.87322617823153,120.19864076572142,-38.6710001278218,85.31659258529473,203.8058356125911,-70.3655647101101,124.89880705442715,274.9664226553082
198,1,DS22,75.83,73.39,5.28,simulated,291.58048437335754,225.15465570868673,152.7404046186661,95.37756928543098,114.08591746806866,113.96087568052188,-101.4834540580501,-59.881559893803825,7.113125730635392,-1053.6958035498385,-783.1176397743278,-486.65408328914106,-982.4320462390144,-726.096247530163,-468.04292436436555,-879.1499177527035,-648.4455744927253,-403.20692350726534,2.319061577280877,163.17919147849017,294.6467661496906,15.467235045015514,222.63282061811526,421.00280102621736,-53.95150660406813,244.2299037365288,474.5026687270316
199,1,DS22,75.83,73.39,5.28,simulated,193.42455138647185,157.19014825528683,116.42128548317105,141.17998379848316,156.75372067950696,156.97201491220594,86.9200165048884,134.7234532821168,205.52514810230286,-650.2690386624715,-502.36110615090536,-343.4652273186543,-645.1190543890098,-505.45488331967414,-356.13365897268505,-634.7091860471023,-500.94292077046714,-370.89936644965,-88.17306033369579,-25.008949517281934,23.848732312328693,-86.7228745462927,-6.619663736686505,64.7219790647913,-101.57570030141301,39.86558599005113,130.0310199339027
204,1,DS22,75.83,73.39,5.28,simulated,128.02354451957203,99.13802809801528,67.60252908952373,99.53886097610616,101.95863772528212,93.38231392492793,69.26411048808245,95.02153139996314,130.2295189878753,-427.0715004044648,-315.66126319435637,-198.81615892299928,-428.5181436778168,-319.16690886223495,-202.1764334265183,-431.5234965884121,-319.25133650989585,-206.0965546420489,-68.73449408106343,-24.493943532410782,12.813735322520998,-74.79965092583184,-21.447415939232926,31.677142345488342,-90.64936632391904,1.7723514394015183,66.15744995223605
206,1,DS22,75.83,73.39,5.28,simulated,214.10770927229032,162.67611296185373,105.6984216256182,80.87014243568737,86.84954052480688,75.05554994102813,-52.34140038811138,-28.43364059718662,5.154245866646246,-767.3822832715236,-563.603731837314,-338.2425978680132,-722.6531905067812,-526.8568184490454,-323.6172280594442,-660.8939310128974,-479.28484768513516,-282.3710700640624,-14.91904853199452,100.19856352525736,197.43000911632078,-11.721703170320268,132.054092681355,273.36730872731533,-66.98025933542164,138.16748512000146,290.9079482102656
207,1,DS22,75.83,73.39,5.28,simulated,210.7334856805166,163.58250139972193,111.97922934734085,103.47166552460303,113.67609675813621,111.1228810422286,-5.894606675233232,25.257546389218728,71.96051000749915,-740.0128184755114,-550.9762540088444,-345.4869622410521,-708.208735829509,-527.3296896204142,-340.764621406997,-662.4456902633037,-489.8199970901601,-308.45477125311345,-41.22570429934342,58.14002833515306,139.793718423828,-38.76337899597445,87.47420351685622,211.18914945904316,-81.7492931131971,109.3193625709107,255.5587411217794
209,1,DS22,75.83,73.39,5.28,simulated,307.2628289233099,247.3579857015872,183.48664984804762,137.08495591989944,167.73472532092654,182.9033111448478,-34.701763227207664,26.111598840826915,129.0420982462559,-1087.5613226615915,-837.2238596782184,-573.5665701774586,-1029.0588322159222,-793.2753111767258,-560.6693035734711,-939.0963159027843,-724.2060501509901,-505.7577279352428,-36.47917401631952,107.94501846268707,222.25608606999967,-19.147356506585027,172.69103733286227,353.29325521476346,-68.06314718611276,228.3037983846162,464.2799929015184
210,1,DS22,75.83,73.39,5.28,simulated,340.8555184170174,269.1471110326826,188.60442299344538,112.32174804887148,130.50555271325803,116.67353441422193,-108.55081246301644,-64.21515142588619,10.42593447537476,-1233.574875082985,-945.8288336161793,-635.7003227198594,-1147.4316928015637,-870.7948491769513,-591.0571445483451,-1026.61013200387,-778.8480979952681,-519.2843548618068,-2.307184210087769,180.7892504153939,336.79061677083087,14.781326624320059,247.5134004293912,468.70349987990926,-64.55700294814983,270.9243004702513,524.9625178940317
211,1,DS22,75.83,73.39,5.28,simulated,178.79230100840076,120.2897047083792,47.64995079423,26.569265823803963,8.941496851543521,-45.91845748984359,-118.24880699381693,-116.26608921878355,-115.19825095948244,-668.917749781806,-455.71071103009524,-208.28618498168748,-613.4071193017593,-403.3981485139013,-172.29634324620463,-547.0923800134296,-360.4023143010042,-157.24875251002507,28.34433944127582,157.2345248147561,281.4196943513407,21.88235551998764,167.02166675145864,301.9988419611603,-54.49770866764402,130.36298597547045,252.65227228806333
212,1,DS22,75.83,73.39,5.28,simulated,294.69974929948364,214.08932493472173,127.54414304151919,68.99954577474385,84.45624666882377,86.6454856250525,-165.39334462292823,-129.32322050409462,-75.23162612083286,-1079.7616360248285,-751.6554757601327,-381.55702836822155,-998.2586138543381,-690.8807190722852,-374.1312633183228,-879.7022792817323,-604.0969306725269,-303.25752550730147,36.38072585383952,222.51658206323384,371.60030002619044,45.83937041932859,284.6690639973618,520.5668213362901,-42.69921086087567,287.2435818299676,543.6542143521526
225,1,DS22,75.83,73.39,5.28,simulated,262.9401588761297,211.58213826259092,155.53509062465488,113.83030883585023,128.8417521238654,118.36595142854888,-28.567661422667914,12.1383339707671,75.09330093017525,-935.1054285478724,-729.353405012949,-515.5815616758917,-882.1782682224741,-682.1019795014867,-479.41433191882584,-808.1089843153605,-623.7143306680448,-430.4486058391787,-33.254018779356386,92.79398087484725,200.46030561473285,-22.00884425144477,139.0508797924556,295.6961049760231,-71.26986072029922,169.69247549106984,349.5231322785976
